iter	Passed	Remaining
170	563	19223
171	566	19184
172	568	19147
173	570	19102
174	573	19076
175	575	19035
176	579	19055
177	581	19012
178	583	18965
179	585	18928
180	587	18889
181	589	18845
182	591	18806
183	593	18759
184	597	18771
185	599	18734
186	601	18703
187	603	18665
188	606	18632
189	608	18595
190	610	18557
191	612	18523
192	615	18530
193	618	18512
194	620	18472
195	622	18438
196	625	18416
197	627	18379
198	629	18342
199	631	18301
200	634	18307
201	636	18283
202	639	18248
203	641	18222
204	643	18188
205	645	18150
206	647	18114
207	649	18081
208	652	18091
209	655	18081
210	658	18068
211	660	18032
212	662	18000
213	664	17973
214	666	17941
215	669	17917
216	672	17931
217	675	17915
218	677	17887
219	679	17860
220	682	17834
221	684	17802
222	686	17778
223	689	17791
224	693	17797
225	695	17767
226	697	17735
227	699	17706
228	701	17680
229	703	17647
230	705	17618
231	707	17589
232	710	17595
233	712	17567
234	714	17539
235	716	17510
236	719	17484
237	721	17463
238	723	17435
239	726	17426
240	729	17433
241	731	17404
242	733	17375
243	735	17348
244	737	17323
245	739	17294
246	741	17265
247	743	17235
248	746	17248
249	748	17223
250	750	17198
251	752	17173
252	754	17148
253	756	17119
254	758	17097
255	761	17078
256	764	17087
257	766	17060
258	768	17040
259	771	17027
260	773	17006
261	775	16980
262	777	16958
263	779	16945
264	783	16955
265	785	16933
266	787	16914
267	789	16889
268	791	16872
269	794	16854
270	797	16854
271	800	16847
272	804	16873
273	806	16852
274	808	16837
275	810	16816
276	813	16810
277	816	16802
278	818	16786
279	821	16778
280	824	16790
281	827	16775
282	829	16762
283	831	16743
284	833	16720
285	835	16695
286	837	16671
287	839	16647
288	841	16632
289	844	16618
290	846	16602
291	848	16579
292	850	16562
293	852	16540
294	854	16521
295	856	16500
296	859	16505
297	861	16491
298	864	16476
299	866	16460
300	868	16445
301	870	16422
302	872	16403
303	874	16384
304	877	16390
305	879	16369
306	881	16353
307	883	16336
308	885	16317
309	887	16298
310	889	16279
311	892	16270
312	895	16278
313	897	16260
314	899	16240
315	901	16221
316	904	16212
317	906	16193
318	908	16173
319	910	16153
320	914	16176
321	916	16156
322	918	16137
323	920	16121
324	922	16102
325	924	16087
326	926	16068
327	928	16050
328	931	16055
329	933	16038
330	935	16022
331	937	16008
332	939	15990
333	941	15970
334	943	15952
335	945	15936
336	948	15943
337	950	15925
338	952	15906
339	954	15891
340	956	15875
341	958	15857
342	960	15845
343	962	15830
344	965	15824
345	967	15812
346	969	15797
347	971	15784
348	973	15767
349	975	15751
350	978	15747
351	980	15740
352	984	15745
353	986	15727
354	988	15710
355	989	15694
356	991	15678
357	993	15663
358	995	15646
359	997	15630
360	1001	15638
361	1003	15622
362	1005	15611
363	1007	15601
364	1009	15587
365	1011	15572
366	1013	15553
367	1015	15540
368	1018	15549
369	1020	15535
370	1022	15521
371	1024	15506
372	1027	15493
373	1029	15480
374	1031	15466
375	1032	15448
376	1036	15458
377	1038	15447
378	1040	15433
379	1042	15422
380	1044	15408
381	1047	15403
382	1049	15392
383	1051	15383
384	1055	15392
385	1057	15383
386	1059	15371
387	1061	15356
388	1063	15345
389	1066	15347
390	1069	15335
391	1070	15320
392	1074	15331
393	1076	15320
394	1078	15306
395	1080	15294
396	1083	15286
397	1085	15274
398	1087	15262
399	1089	15254
400	1093	15263
401	1095	15255
402	1098	15249
403	1100	15238
404	1102	15226
405	1104	15212
406	1106	15205
407	1108	15199
408	1112	15214
409	1115	15213
410	1117	15199
411	1119	15188
412	1122	15178
413	1125	15183
414	1127	15172
415	1129	15162
416	1133	15173
417	1135	15160
418	1137	15149
419	1139	15137
420	1141	15127
421	1143	15114
422	1145	15102
423	1147	15089
424	1150	15096
425	1153	15087
426	1155	15075
427	1157	15066
428	1159	15053
429	1161	15047
430	1163	15037
431	1165	15024
432	1167	15016
433	1170	15009
434	1172	15000
435	1174	14989
436	1176	14976
437	1178	14965
438	1180	14951
439	1182	14944
440	1184	14934
441	1187	14927
442	1189	14915
